SID,T-06:00:00,NODE
1,0,22707
2,0,23537
3,0,24871
4,0,25942
5,0,21256
6,0,19592
7,0,28770
8,0,10053
9,0,23792
10,0,25539
11,0,22791
12,0,22563
13,0,12791
14,0,25279
15,0,18918
16,0,27281
17,0,33485
18,0,20571
19,0,26196
20,0,24119
21,0,30243
22,0,27771
23,0,29934
24,0,17315
25,0,34916
26,0,16597
27,0,31032
28,0,24112
29,0,27306
30,0,31838
31,0,29285
32,0,27486
33,0,27328
34,0,25170
35,0,49333
36,0,19803
37,0,13189
38,0,31844
39,0,22817
40,0,24493
41,0,24168
42,0,30203
43,0,26208
44,0,25094
45,0,23653
46,0,23363
47,0,27914
48,0,26284
49,0,18959
50,0,26284
51,0,35556
52,0,25548
53,0,16304
54,0,27317
55,0,33889
56,0,33998
57,0,25075
58,0,28783
59,0,30718
60,0,31844
61,0,25319
62,0,48523
63,0,25372
64,0,12205
65,0,29432
66,0,24201
67,0,12087
68,0,20158
69,0,17801
70,0,25452
71,0,23468
72,0,16824
73,0,23573
74,0,27622
75,0,34910
76,0,26730
77,0,27090
78,0,25406
79,0,25548
80,0,23264
81,0,23151
82,0,23915
83,0,31641
84,0,26636
85,0,27218
86,0,34317
87,0,35121
88,0,23519
89,0,30906
90,0,19740
91,0,31838
92,0,17459
93,0,25652
94,0,15792
95,0,49985
96,0,21170
97,0,33067
98,0,22226
99,0,25774
100,0,27058
101,0,30506
102,0,27124
103,0,24049
104,0,20985
105,0,23653
106,0,30203
107,0,24927
108,0,22242
109,0,17646
110,0,24642
111,0,32979
112,0,15780
113,0,22583
114,0,29269
115,0,31208
116,0,19034
117,0,33662
118,0,17546
119,0,34916
120,0,49670
121,0,27317
122,0,20741
123,0,26176
124,0,29269
125,0,47594
126,0,31456
127,0,29434
128,0,20571
129,0,33864
130,0,26682
131,0,23163
132,0,26118
133,0,26739
134,0,21402
135,0,20770
136,0,30412
137,0,28520
138,0,27737
139,0,16646
140,0,27905
141,0,30053
142,0,25406
143,0,21822
144,0,20158
145,0,12243
146,0,23769
147,0,22483
148,0,22193
149,0,22749
150,0,28783
151,0,19480
152,0,25606
153,0,20437
154,0,33297
155,0,30250
156,0,27348
157,0,29465
158,0,28144
159,0,31838
160,0,19020
161,0,26680
162,0,27189
163,0,34062
164,0,11400
165,0,21410
166,0,33960
167,0,10352
168,0,22255
169,0,18230
170,0,27355
171,0,19914
172,0,25225
173,0,23564
174,0,26454
175,0,19963
176,0,26699
177,0,21416
178,0,17356
179,0,12243
180,0,26650
181,0,50037
182,0,32323
183,0,25075
184,0,27474
185,0,24927
186,0,29216
187,0,27281
188,0,22787
189,0,49173
190,0,48014
191,0,29313
192,0,34369
193,0,23582
194,0,27914
195,0,18230
196,0,16088
197,0,33263
198,0,25815
199,0,22551
200,0,48541
201,0,32998
202,0,18265
203,0,33348
204,0,19587
205,0,25443
206,0,30906
207,0,30935
208,0,27865
209,0,16884
210,0,19334
211,0,24119
212,0,21436
213,0,23221
214,0,24757
215,0,27692
