SID,T-06:00:00,NODE
1,0,19303
2,0,20281
3,0,24210
4,0,19447
5,0,28898
6,0,20228
7,0,50192
8,0,25584
9,0,27865
10,0,28724
11,0,26498
12,0,21865
13,0,21487
14,0,23245
15,0,24568
16,0,27338
17,0,18959
18,0,22242
19,0,21171
20,0,32506
21,0,25094
22,0,25788
23,0,21436
24,0,34759
25,0,21177
26,0,18042
27,0,28826
28,0,25792
29,0,22101
30,0,32738
31,0,20141
32,0,31838
33,0,23788
34,0,18802
35,0,20162
36,0,23498
37,0,17883
38,0,26730
39,0,25372
40,0,27555
41,0,27729
42,0,35241
43,0,24600
44,0,38985
45,0,34755
46,0,23653
47,0,17780
48,0,21101
49,0,24390
50,0,29415
51,0,23915
52,0,15655
53,0,14660
54,0,19147
55,0,20654
56,0,31193
57,0,26454
58,0,23788
59,0,24028
60,0,12243
61,0,30894
62,0,29580
63,0,12243
64,0,25274
65,0,17769
66,0,27468
67,0,27035
68,0,20835
69,0,20144
70,0,33662
71,0,22749
72,0,34153
73,0,19338
74,0,23519
75,0,49148
76,0,31991
77,0,31844
78,0,19886
79,0,30412
80,0,23329
81,0,27761
82,0,25321
83,0,19365
84,0,35536
85,0,50571
86,0,21170
87,0,34755
88,0,20680
89,0,23802
90,0,26005
91,0,34916
92,0,15428
93,0,19377
94,0,26730
95,0,27515
96,0,23574
97,0,25294
98,0,27993
99,0,27328
100,0,22282
101,0,26599
102,0,26308
103,0,32929
104,0,33247
105,0,20230
106,0,32615
107,0,21424
108,0,25028
109,0,34369
110,0,23915
111,0,35544
112,0,30091
113,0,28900
114,0,30015
115,0,17010
116,0,23345
117,0,27194
118,0,29430
119,0,28110
120,0,22255
121,0,12590
122,0,29162
123,0,12243
124,0,33266
125,0,25548
126,0,26454
127,0,24999
128,0,34072
129,0,26776
130,0,9936
131,0,48944
132,0,19811
133,0,19587
134,0,29095
135,0,28963
136,0,31838
137,0,31855
138,0,28012
139,0,19417
140,0,35639
141,0,23498
